,PLZ,Longitude,Latitude
132,13127,13.43803639424625,52.619999928293986
133,13129,13.457927558520657,52.59205784915984
134,13156,13.399679345417574,52.58235941503544
135,13158,13.383482175401902,52.59319891839218
136,13159,13.39781930738672,52.622980185622865
137,13187,13.408406728535377,52.569544289010025
138,13189,13.421922791184404,52.56428133261613
139,13347,13.365455385862616,52.54906035716649
140,13349,13.347338321717679,52.55798834244686
141,13351,13.33282903404662,52.55065264364231
142,13353,13.349493150452554,52.54159282020101
143,13355,13.390584510139545,52.54177403402419
144,13357,13.382545290564279,52.55025478348207
145,13359,13.38508861070656,52.55987577586028
146,13403,13.322394750985106,52.57390962656044
147,13405,13.296715655546139,52.55956271601847
148,13407,13.351152712066776,52.5726565884841
149,13409,13.37136141499762,52.567874990707
150,13435,13.345583555610988,52.602047574882135
